"","event.id","visible","timestamp","location.long","location.lat","bar.barometric.pressure","data.decoding.software","eobs.activity","eobs.activity.samples","eobs.battery.voltage","eobs.fix.battery.voltage","eobs.horizontal.accuracy.estimate","eobs.key.bin.checksum","eobs.speed.accuracy.estimate","eobs.start.timestamp","eobs.status","eobs.temperature","eobs.type.of.fix","eobs.used.time.to.get.fix","gps.dop","gps.satellite.count","ground.speed","heading","height.above.ellipsoid","import.marked.outlier","mag.magnetic.field.raw.x","mag.magnetic.field.raw.y","mag.magnetic.field.raw.z","orientation.quaternion.raw.w","orientation.quaternion.raw.x","orientation.quaternion.raw.y","orientation.quaternion.raw.z","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone","study.timezone","study.local.timestamp"
"1",25934375894,TRUE,"2022-06-10 07:00:38",12.811993,3.190347,0,14,NA,NA,3975,3970,19.97,968232608,1.43,"2022-06-10 07:00:01","A",31,3,36,2.8,5,0.74,0,628.5,FALSE,NA,NA,NA,NA,NA,NA,NA,"gps","Corythaeola cristata","8893",8893,"Hornbill e-obs Cameroon",256845.2869,352891.3403,"33N","Western African Time","2022-06-10 08:00:38"
"2",25934375907,TRUE,"2022-06-10 07:30:47",12.8122039,3.1901101,0,14,NA,NA,3975,3969,34.05,692216216,1.39,"2022-06-10 07:30:01","A",31,3,45,2.9,5,0.18,248.38,714,FALSE,NA,NA,NA,NA,NA,NA,NA,"gps","Corythaeola cristata","8893",8893,"Hornbill e-obs Cameroon",256868.68,352865.0859,"33N","Western African Time","2022-06-10 08:30:47"
"3",25934375918,TRUE,"2022-06-10 08:00:17",12.8122496,3.1902321,0,14,NA,NA,3975,3973,12.03,20972909,0.55,"2022-06-10 08:00:01","A",32,3,15,2.3,5,0.05,0,703.3,FALSE,NA,NA,NA,NA,NA,NA,NA,"gps","Corythaeola cristata","8893",8893,"Hornbill e-obs Cameroon",256873.7898,352878.5701,"33N","Western African Time","2022-06-10 09:00:17"
"4",25934375949,TRUE,"2022-06-10 08:30:41",12.812111,3.190386,0,14,NA,NA,3975,3970,22.78,1765636868,0.74,"2022-06-10 08:30:01","A",32,3,39,3,4,0.03,0,696,FALSE,NA,NA,NA,NA,NA,NA,NA,"gps","Corythaeola cristata","8893",8893,"Hornbill e-obs Cameroon",256858.4158,352895.6263,"33N","Western African Time","2022-06-10 09:30:41"
"5",25934375965,TRUE,"2022-06-10 09:00:11",12.8117483,3.1903354,0,14,NA,NA,3989,3988,7.42,4016406203,0.43,"2022-06-10 09:00:01","A",38,3,9,2.4,5,0.04,0,708.5,FALSE,NA,NA,NA,NA,NA,NA,NA,"gps","Corythaeola cristata","8893",8893,"Hornbill e-obs Cameroon",256818.0772,352890.115,"33N","Western African Time","2022-06-10 10:00:11"
"6",25934375983,TRUE,"2022-06-10 09:30:12",12.8115938,3.1904403,0,14,NA,NA,3990,3992,8.96,814414522,0.64,"2022-06-10 09:30:01","A",38,3,10,2.4,5,0.05,0,694.3,FALSE,NA,NA,NA,NA,NA,NA,NA,"gps","Corythaeola cristata","8893",8893,"Hornbill e-obs Cameroon",256800.9239,352901.755,"33N","Western African Time","2022-06-10 10:30:12"
"7",25934376001,TRUE,"2022-06-10 10:00:16",12.8115702,3.1904483,0,14,NA,NA,3990,3994,8.7,3214522152,0.81,"2022-06-10 10:00:01","A",39,3,14,2.8,5,0.02,0,701.3,FALSE,NA,NA,NA,NA,NA,NA,NA,"gps","Corythaeola cristata","8893",8893,"Hornbill e-obs Cameroon",256798.3018,352902.6455,"33N","Western African Time","2022-06-10 11:00:16"
"8",25934376014,TRUE,"2022-06-10 10:00:53",12.8116245,3.190408,0,14,NA,NA,3989,3989,3.07,3817041747,0.41,"2022-06-10 10:00:20","A",39,3,32,1.5,10,0.01,0,704.9,FALSE,NA,NA,NA,NA,NA,NA,NA,"gps","Corythaeola cristata","8893",8893,"Hornbill e-obs Cameroon",256804.3296,352898.1749,"33N","Western African Time","2022-06-10 11:00:53"
"9",25934376021,TRUE,"2022-06-10 10:30:10",12.8114888,3.1904949,0,14,NA,NA,3950,3948,3.84,653244508,0.31,"2022-06-10 10:30:01","A",40,3,8,1.5,10,0.04,0,709.3,FALSE,NA,NA,NA,NA,NA,NA,NA,"gps","Corythaeola cristata","8893",8893,"Hornbill e-obs Cameroon",256789.2623,352907.8193,"33N","Western African Time","2022-06-10 11:30:10"
"10",25934376039,TRUE,"2022-06-10 11:00:12",12.8114331,3.1904923,0,14,NA,NA,3953,3948,7.68,2761616028,0.39,"2022-06-10 11:00:01","A",37,3,10,1.6,9,0.03,0,710.2,FALSE,NA,NA,NA,NA,NA,NA,NA,"gps","Corythaeola cristata","8893",8893,"Hornbill e-obs Cameroon",256783.0687,352907.5449,"33N","Western African Time","2022-06-10 12:00:12"
